Transcript,Protein,Num del,Num dup
ENSMMUT00000074728,ENSMMUP00000045683,0,0
ENSMMUT00000059902,ENSMMUP00000042984,0,0
ENSMMUT00000019759,ENSMMUP00000018498,0,0
ENSMMUT00000026818,ENSMMUP00000025093,0,0
ENSMMUT00000026588,ENSMMUP00000024882,3,0
ENSMMUT00000026593,ENSMMUP00000024887,0,0
ENSMMUT00000014367,ENSMMUP00000013457,0,0
ENSMMUT00000017305,ENSMMUP00000016207,2,0
ENSMMUT00000017306,ENSMMUP00000016208,0,0
ENSMMUT00000017311,ENSMMUP00000016213,0,0
ENSMMUT00000020586,ENSMMUP00000019262,0,0
ENSMMUT00000020589,ENSMMUP00000019265,1,0
ENSMMUT00000064290,ENSMMUP00000048500,0,0
ENSMMUT00000022931,ENSMMUP00000021447,0,0
ENSMMUT00000047643,ENSMMUP00000040666,0,0
ENSMMUT00000056685,ENSMMUP00000045721,0,0
ENSMMUT00000060340,ENSMMUP00000057055,0,0
ENSMMUT00000017286,ENSMMUP00000016190,0,0
ENSMMUT00000047640,ENSMMUP00000040663,4,0
ENSMMUT00000047639,ENSMMUP00000040662,0,0
ENSMMUT00000013068,ENSMMUP00000012248,1,0
ENSMMUT00000013073,ENSMMUP00000012253,1,0
ENSMMUT00000055470,ENSMMUP00000058112,0,0
ENSMMUT00000005356,ENSMMUP00000005044,0,0
ENSMMUT00000005357,ENSMMUP00000005045,0,0
ENSMMUT00000047632,ENSMMUP00000040655,0,0
ENSMMUT00000019077,ENSMMUP00000017867,0,0
ENSMMUT00000047630,ENSMMUP00000040653,0,0
ENSMMUT00000021276,ENSMMUP00000019897,0,0
ENSMMUT00000021280,ENSMMUP00000019901,0,1
ENSMMUT00000021283,ENSMMUP00000019904,1,0
ENSMMUT00000070951,ENSMMUP00000049033,0,0
ENSMMUT00000066681,ENSMMUP00000041928,1,0
ENSMMUT00000047625,ENSMMUP00000040648,0,0
ENSMMUT00000023667,ENSMMUP00000022147,0,0
ENSMMUT00000025784,ENSMMUP00000024123,0,0
ENSMMUT00000056363,ENSMMUP00000050899,0,0
ENSMMUT00000025788,ENSMMUP00000024127,0,0
ENSMMUT00000056240,ENSMMUP00000044559,0,0
ENSMMUT00000079075,ENSMMUP00000047858,1,0
ENSMMUT00000078976,ENSMMUP00000056559,0,0
ENSMMUT00000047617,ENSMMUP00000040640,0,0
ENSMMUT00000033315,ENSMMUP00000031179,0,0
ENSMMUT00000056423,ENSMMUP00000059816,0,0
ENSMMUT00000033334,ENSMMUP00000031197,0,0
ENSMMUT00000025562,ENSMMUP00000023918,0,0
ENSMMUT00000060572,ENSMMUP00000050352,0,0
ENSMMUT00000047615,ENSMMUP00000040638,0,0
ENSMMUT00000025554,ENSMMUP00000023910,0,0
ENSMMUT00000074169,ENSMMUP00000060642,0,0
ENSMMUT00000002896,ENSMMUP00000002738,0,0
ENSMMUT00000047613,ENSMMUP00000040636,0,0
ENSMMUT00000053857,ENSMMUP00000057651,0,0
ENSMMUT00000055976,ENSMMUP00000047971,0,0
ENSMMUT00000026089,ENSMMUP00000024413,0,0
ENSMMUT00000057023,ENSMMUP00000055057,0,0
ENSMMUT00000000900,ENSMMUP00000000838,0,0
ENSMMUT00000023238,ENSMMUP00000021741,0,0
ENSMMUT00000065538,ENSMMUP00000043304,0,0
ENSMMUT00000053766,ENSMMUP00000045831,0,0
ENSMMUT00000030122,ENSMMUP00000028190,0,0
ENSMMUT00000047609,ENSMMUP00000040632,0,0
ENSMMUT00000047603,ENSMMUP00000040626,0,0
ENSMMUT00000026728,ENSMMUP00000025009,0,0
ENSMMUT00000022903,ENSMMUP00000021421,0,0
ENSMMUT00000023478,ENSMMUP00000021967,0,0
ENSMMUT00000020909,ENSMMUP00000040619,0,0
ENSMMUT00000074962,ENSMMUP00000056839,0,0
ENSMMUT00000008706,ENSMMUP00000008181,0,0
ENSMMUT00000008709,ENSMMUP00000008184,0,0
ENSMMUT00000064961,ENSMMUP00000058120,0,0
ENSMMUT00000077715,ENSMMUP00000044960,0,0
ENSMMUT00000072546,ENSMMUP00000043766,0,0
ENSMMUT00000068121,ENSMMUP00000059568,0,0
ENSMMUT00000003139,ENSMMUP00000002963,0,0
ENSMMUT00000077564,ENSMMUP00000059243,0,0
ENSMMUT00000053830,ENSMMUP00000048715,1,0
ENSMMUT00000003062,ENSMMUP00000002891,0,0
ENSMMUT00000042549,ENSMMUP00000035557,0,0
ENSMMUT00000047582,ENSMMUP00000040612,0,0
ENSMMUT00000032408,ENSMMUP00000030323,0,0
ENSMMUT00000016337,ENSMMUP00000015307,0,0
ENSMMUT00000028081,ENSMMUP00000026273,0,0
ENSMMUT00000069218,ENSMMUP00000042467,0,0
ENSMMUT00000030723,ENSMMUP00000028753,0,0
ENSMMUT00000013204,ENSMMUP00000012375,0,0
ENSMMUT00000010424,ENSMMUP00000009783,0,0
ENSMMUT00000027131,ENSMMUP00000025380,0,0
ENSMMUT00000027134,ENSMMUP00000025383,0,0
ENSMMUT00000027142,ENSMMUP00000025391,0,0
ENSMMUT00000008659,ENSMMUP00000008138,0,0
ENSMMUT00000047577,ENSMMUP00000040607,0,0
ENSMMUT00000022554,ENSMMUP00000021100,0,0
ENSMMUT00000003198,ENSMMUP00000003018,0,0
ENSMMUT00000003197,ENSMMUP00000003017,0,0
ENSMMUT00000033292,ENSMMUP00000031156,0,0
ENSMMUT00000047574,ENSMMUP00000040604,0,0
ENSMMUT00000070106,ENSMMUP00000058751,0,0
ENSMMUT00000047572,ENSMMUP00000040602,0,0
ENSMMUT00000010963,ENSMMUP00000010283,0,0
ENSMMUT00000066113,ENSMMUP00000056799,0,0
ENSMMUT00000010971,ENSMMUP00000010290,0,0
ENSMMUT00000045348,ENSMMUP00000038374,0,0
ENSMMUT00000017482,ENSMMUP00000016372,0,0
ENSMMUT00000019890,ENSMMUP00000018618,0,0
ENSMMUT00000032989,ENSMMUP00000030869,0,0
ENSMMUT00000076029,ENSMMUP00000050463,0,0
ENSMMUT00000047566,ENSMMUP00000040597,0,0
ENSMMUT00000011663,ENSMMUP00000010936,0,0
ENSMMUT00000030188,ENSMMUP00000028250,0,0
ENSMMUT00000030197,ENSMMUP00000028259,0,0
ENSMMUT00000007984,ENSMMUP00000007504,0,0
ENSMMUT00000015565,ENSMMUP00000014578,0,0
ENSMMUT00000073498,ENSMMUP00000042969,0,0
ENSMMUT00000047560,ENSMMUP00000040591,0,0
ENSMMUT00000029144,ENSMMUP00000027269,0,0
ENSMMUT00000070788,ENSMMUP00000041647,0,0
ENSMMUT00000027946,ENSMMUP00000026144,0,0
ENSMMUT00000023578,ENSMMUP00000022061,0,0
ENSMMUT00000000211,ENSMMUP00000000198,0,0
ENSMMUT00000047557,ENSMMUP00000040588,0,0
ENSMMUT00000032461,ENSMMUP00000030374,0,0
ENSMMUT00000069090,ENSMMUP00000058856,0,0
ENSMMUT00000008623,ENSMMUP00000008105,0,0
ENSMMUT00000005655,ENSMMUP00000005322,0,0
ENSMMUT00000003090,ENSMMUP00000002917,0,0
ENSMMUT00000069112,ENSMMUP00000048400,0,0
ENSMMUT00000047549,ENSMMUP00000040580,0,0
ENSMMUT00000003971,ENSMMUP00000003749,0,0
ENSMMUT00000027974,ENSMMUP00000026170,0,0
ENSMMUT00000022871,ENSMMUP00000021391,0,0
ENSMMUT00000053656,ENSMMUP00000058894,0,0
ENSMMUT00000047547,ENSMMUP00000040578,0,0
ENSMMUT00000011233,ENSMMUP00000010529,0,0
ENSMMUT00000056537,ENSMMUP00000046136,0,0
ENSMMUT00000002699,ENSMMUP00000002551,0,0
ENSMMUT00000002697,ENSMMUP00000002549,0,0
ENSMMUT00000025634,ENSMMUP00000023981,0,0
ENSMMUT00000054072,ENSMMUP00000046749,0,0
ENSMMUT00000079062,ENSMMUP00000053228,0,0
ENSMMUT00000020222,ENSMMUP00000018930,0,0
ENSMMUT00000072761,ENSMMUP00000044763,0,0
ENSMMUT00000017856,ENSMMUP00000016721,0,0
ENSMMUT00000054750,ENSMMUP00000056811,0,0
ENSMMUT00000047538,ENSMMUP00000040570,0,0
ENSMMUT00000028016,ENSMMUP00000026210,0,0
ENSMMUT00000074785,ENSMMUP00000043267,0,0
ENSMMUT00000067147,ENSMMUP00000042308,0,0
ENSMMUT00000070034,ENSMMUP00000051834,0,0
ENSMMUT00000047537,ENSMMUP00000040569,0,0
ENSMMUT00000002021,ENSMMUP00000001907,0,0
ENSMMUT00000002277,ENSMMUP00000002153,0,0
ENSMMUT00000002285,ENSMMUP00000002161,1,0
ENSMMUT00000002293,ENSMMUP00000002169,0,0
ENSMMUT00000061510,ENSMMUP00000053723,0,0
ENSMMUT00000031560,ENSMMUP00000029530,0,0
ENSMMUT00000064581,ENSMMUP00000047780,0,0
ENSMMUT00000015176,ENSMMUP00000014220,0,0
ENSMMUT00000015180,ENSMMUP00000014224,0,0
ENSMMUT00000013521,ENSMMUP00000012668,0,0
ENSMMUT00000033081,ENSMMUP00000030954,0,0
ENSMMUT00000074296,ENSMMUP00000043051,0,0
ENSMMUT00000024536,ENSMMUP00000022968,0,0
ENSMMUT00000004221,ENSMMUP00000003982,0,0
ENSMMUT00000006715,ENSMMUP00000006318,0,0
ENSMMUT00000006716,ENSMMUP00000006319,0,0
ENSMMUT00000009356,ENSMMUP00000008791,0,0
ENSMMUT00000009373,ENSMMUP00000008807,0,0
ENSMMUT00000056430,ENSMMUP00000058571,0,0
ENSMMUT00000000908,ENSMMUP00000000846,0,0
ENSMMUT00000047525,ENSMMUP00000040557,0,0
ENSMMUT00000047524,ENSMMUP00000040556,0,0
ENSMMUT00000009634,ENSMMUP00000009051,0,0
ENSMMUT00000047597,ENSMMUP00000040622,0,0
ENSMMUT00000061523,ENSMMUP00000051591,0,0
ENSMMUT00000004575,ENSMMUP00000049256,0,0
ENSMMUT00000076662,ENSMMUP00000057958,0,0
ENSMMUT00000067313,ENSMMUP00000048594,0,0
ENSMMUT00000003546,ENSMMUP00000003352,0,0
ENSMMUT00000015046,ENSMMUP00000014098,0,0
ENSMMUT00000030759,ENSMMUP00000028787,0,0
ENSMMUT00000057235,ENSMMUP00000041436,0,0
ENSMMUT00000053534,ENSMMUP00000058932,0,0
ENSMMUT00000005871,ENSMMUP00000005529,0,0
ENSMMUT00000058741,ENSMMUP00000049640,0,0
ENSMMUT00000007219,ENSMMUP00000006784,0,0
ENSMMUT00000078123,ENSMMUP00000052515,0,0
ENSMMUT00000068266,ENSMMUP00000041799,0,0
ENSMMUT00000075562,ENSMMUP00000052968,0,0
ENSMMUT00000012348,ENSMMUP00000011581,0,0
ENSMMUT00000012360,ENSMMUP00000011593,0,0
ENSMMUT00000012371,ENSMMUP00000011603,0,0
ENSMMUT00000047511,ENSMMUP00000040546,0,0
ENSMMUT00000078548,ENSMMUP00000046716,0,0
ENSMMUT00000076773,ENSMMUP00000057894,0,0
ENSMMUT00000058145,ENSMMUP00000049274,0,0
ENSMMUT00000065393,ENSMMUP00000050915,0,0
ENSMMUT00000063966,ENSMMUP00000055498,0,0
ENSMMUT00000065960,ENSMMUP00000054489,0,0
ENSMMUT00000024395,ENSMMUP00000022833,0,0
ENSMMUT00000020804,ENSMMUP00000019467,0,0
ENSMMUT00000047505,ENSMMUP00000040540,0,0
ENSMMUT00000028165,ENSMMUP00000026352,0,0
ENSMMUT00000005507,ENSMMUP00000005184,0,0
ENSMMUT00000006670,ENSMMUP00000006276,0,0
ENSMMUT00000047501,ENSMMUP00000040536,0,0
ENSMMUT00000058604,ENSMMUP00000042498,0,0
ENSMMUT00000026173,ENSMMUP00000024495,0,0
ENSMMUT00000029192,ENSMMUP00000027314,0,0
ENSMMUT00000029196,ENSMMUP00000027318,0,0
ENSMMUT00000029197,ENSMMUP00000027319,0,0
ENSMMUT00000078501,ENSMMUP00000049811,0,0
ENSMMUT00000076596,ENSMMUP00000060503,0,0
ENSMMUT00000066653,ENSMMUP00000047511,0,0
ENSMMUT00000074263,ENSMMUP00000054036,0,0
ENSMMUT00000065690,ENSMMUP00000051605,0,0
ENSMMUT00000047498,ENSMMUP00000040533,0,0
ENSMMUT00000068328,ENSMMUP00000048124,0,0
ENSMMUT00000015352,ENSMMUP00000014384,0,0
ENSMMUT00000015355,ENSMMUP00000014386,0,0
ENSMMUT00000064546,ENSMMUP00000044901,0,0
ENSMMUT00000016577,ENSMMUP00000015528,0,0
ENSMMUT00000076496,ENSMMUP00000050697,0,0
ENSMMUT00000069752,ENSMMUP00000050891,0,0
ENSMMUT00000003486,ENSMMUP00000003295,0,0
ENSMMUT00000004493,ENSMMUP00000004240,0,0
ENSMMUT00000027463,ENSMMUP00000025686,0,0
ENSMMUT00000027462,ENSMMUP00000025685,0,0
ENSMMUT00000027457,ENSMMUP00000025680,0,0
ENSMMUT00000060965,ENSMMUP00000048063,0,0
ENSMMUT00000005987,ENSMMUP00000005638,0,0
ENSMMUT00000005988,ENSMMUP00000005639,0,0
ENSMMUT00000064255,ENSMMUP00000059913,0,0
ENSMMUT00000019350,ENSMMUP00000018121,0,0
ENSMMUT00000065829,ENSMMUP00000056910,0,0
ENSMMUT00000070512,ENSMMUP00000051639,0,0
ENSMMUT00000032435,ENSMMUP00000030348,0,0
ENSMMUT00000071122,ENSMMUP00000060709,0,0
ENSMMUT00000066383,ENSMMUP00000051318,0,0
ENSMMUT00000078767,ENSMMUP00000049574,0,0
ENSMMUT00000006322,ENSMMUP00000005946,0,0
ENSMMUT00000047493,ENSMMUP00000040527,0,0
ENSMMUT00000006327,ENSMMUP00000005951,0,0
ENSMMUT00000074116,ENSMMUP00000045782,0,0
ENSMMUT00000047488,ENSMMUP00000040522,0,0
ENSMMUT00000003431,ENSMMUP00000003241,0,0
ENSMMUT00000003439,ENSMMUP00000003249,0,0
ENSMMUT00000004205,ENSMMUP00000003967,0,0
ENSMMUT00000047487,ENSMMUP00000040521,0,0
ENSMMUT00000047485,ENSMMUP00000040519,0,0
ENSMMUT00000075459,ENSMMUP00000049073,0,0
ENSMMUT00000025304,ENSMMUP00000023670,0,0
ENSMMUT00000006761,ENSMMUP00000006360,1,0
ENSMMUT00000010997,ENSMMUP00000010313,0,0
ENSMMUT00000010999,ENSMMUP00000010315,0,0
ENSMMUT00000011002,ENSMMUP00000010317,0,0
ENSMMUT00000011003,ENSMMUP00000010318,0,0
ENSMMUT00000000943,ENSMMUP00000000881,0,0
ENSMMUT00000075288,ENSMMUP00000048680,0,0
ENSMMUT00000000944,ENSMMUP00000000882,0,0
ENSMMUT00000067566,ENSMMUP00000059867,0,0
ENSMMUT00000047479,ENSMMUP00000040512,0,0
ENSMMUT00000071002,ENSMMUP00000049286,0,0
ENSMMUT00000028090,ENSMMUP00000026282,0,0
ENSMMUT00000023704,ENSMMUP00000022182,0,0
ENSMMUT00000058726,ENSMMUP00000053465,0,0
ENSMMUT00000057864,ENSMMUP00000046221,0,0
ENSMMUT00000006614,ENSMMUP00000006223,0,0
ENSMMUT00000059650,ENSMMUP00000061030,0,0
ENSMMUT00000047476,ENSMMUP00000040509,0,0
ENSMMUT00000047475,ENSMMUP00000040508,0,0
ENSMMUT00000000928,ENSMMUP00000000866,0,0
ENSMMUT00000000934,ENSMMUP00000000872,0,0
ENSMMUT00000000936,ENSMMUP00000000874,0,0
ENSMMUT00000014314,ENSMMUP00000013405,0,0
ENSMMUT00000014317,ENSMMUP00000013408,0,0
ENSMMUT00000047467,ENSMMUP00000040500,0,0
ENSMMUT00000070505,ENSMMUP00000052186,0,0
ENSMMUT00000069755,ENSMMUP00000053365,0,0
ENSMMUT00000064807,ENSMMUP00000053272,0,0
ENSMMUT00000073555,ENSMMUP00000042750,0,0
ENSMMUT00000031106,ENSMMUP00000029115,0,0
ENSMMUT00000017806,ENSMMUP00000016675,0,0
ENSMMUT00000047459,ENSMMUP00000040493,0,0
ENSMMUT00000065360,ENSMMUP00000057756,0,0
ENSMMUT00000019444,ENSMMUP00000018208,0,0
ENSMMUT00000026316,ENSMMUP00000024634,0,0
ENSMMUT00000047456,ENSMMUP00000040490,0,0
ENSMMUT00000014381,ENSMMUP00000013471,0,0
ENSMMUT00000014383,ENSMMUP00000013473,0,0
ENSMMUT00000003635,ENSMMUP00000003437,0,0
ENSMMUT00000029575,ENSMMUP00000027676,0,0
ENSMMUT00000031149,ENSMMUP00000029153,0,0
ENSMMUT00000077403,ENSMMUP00000054962,0,0
ENSMMUT00000006729,ENSMMUP00000006331,0,0
ENSMMUT00000047450,ENSMMUP00000040484,0,0
ENSMMUT00000047447,ENSMMUP00000040481,0,0
ENSMMUT00000025743,ENSMMUP00000024083,0,0
ENSMMUT00000025748,ENSMMUP00000024088,0,0
ENSMMUT00000025752,ENSMMUP00000024092,0,0
ENSMMUT00000025754,ENSMMUP00000024093,0,0
ENSMMUT00000025610,ENSMMUP00000023961,0,0
ENSMMUT00000013788,ENSMMUP00000040479,0,0
ENSMMUT00000020255,ENSMMUP00000018960,0,0
ENSMMUT00000016036,ENSMMUP00000015029,0,0
ENSMMUT00000017147,ENSMMUP00000016059,0,0
ENSMMUT00000010724,ENSMMUP00000010061,0,0
ENSMMUT00000009690,ENSMMUP00000009103,0,0
ENSMMUT00000009693,ENSMMUP00000048040,0,0
ENSMMUT00000047441,ENSMMUP00000040474,0,0
ENSMMUT00000025541,ENSMMUP00000023898,0,0
ENSMMUT00000025542,ENSMMUP00000023899,0,0
ENSMMUT00000018185,ENSMMUP00000017024,0,0
ENSMMUT00000018135,ENSMMUP00000016979,0,0
ENSMMUT00000016361,ENSMMUP00000015331,0,0
ENSMMUT00000024014,ENSMMUP00000022474,0,0
ENSMMUT00000059994,ENSMMUP00000050703,0,0
ENSMMUT00000028099,ENSMMUP00000026289,0,0
ENSMMUT00000014484,ENSMMUP00000013569,0,0
ENSMMUT00000047438,ENSMMUP00000040471,0,0
ENSMMUT00000074221,ENSMMUP00000049577,0,0
ENSMMUT00000025772,ENSMMUP00000024111,0,0
ENSMMUT00000075811,ENSMMUP00000051337,0,0
ENSMMUT00000069668,ENSMMUP00000055666,0,0
ENSMMUT00000009188,ENSMMUP00000008634,0,0
ENSMMUT00000068357,ENSMMUP00000051482,0,0
ENSMMUT00000015950,ENSMMUP00000014947,0,0
ENSMMUT00000047434,ENSMMUP00000040468,0,0
ENSMMUT00000013114,ENSMMUP00000012292,0,0
ENSMMUT00000031050,ENSMMUP00000053485,0,0
ENSMMUT00000015930,ENSMMUP00000014929,0,0
ENSMMUT00000015935,ENSMMUP00000014934,0,0
ENSMMUT00000009922,ENSMMUP00000009316,0,0
ENSMMUT00000021963,ENSMMUP00000020542,0,0
ENSMMUT00000078686,ENSMMUP00000052385,0,0
ENSMMUT00000012216,ENSMMUP00000011458,0,0
ENSMMUT00000018984,ENSMMUP00000017780,0,0
ENSMMUT00000018986,ENSMMUP00000017782,0,0
ENSMMUT00000059331,ENSMMUP00000057211,0,0
ENSMMUT00000027255,ENSMMUP00000025498,0,0
ENSMMUT00000054679,ENSMMUP00000051310,0,0
ENSMMUT00000017030,ENSMMUP00000015950,0,0
ENSMMUT00000029511,ENSMMUP00000027614,0,0
ENSMMUT00000078478,ENSMMUP00000047763,1,0
ENSMMUT00000067226,ENSMMUP00000048274,0,0
ENSMMUT00000054824,ENSMMUP00000046743,0,0
ENSMMUT00000032919,ENSMMUP00000030802,1,0
ENSMMUT00000032920,ENSMMUP00000030803,1,0
ENSMMUT00000032922,ENSMMUP00000030804,0,0
ENSMMUT00000032929,ENSMMUP00000030811,0,0
ENSMMUT00000047426,ENSMMUP00000040460,0,0
ENSMMUT00000062589,ENSMMUP00000041917,0,0
ENSMMUT00000032976,ENSMMUP00000030856,0,0
ENSMMUT00000021954,ENSMMUP00000020533,0,0
ENSMMUT00000011820,ENSMMUP00000011086,0,0
ENSMMUT00000021852,ENSMMUP00000020438,0,0
ENSMMUT00000021116,ENSMMUP00000019744,0,0
ENSMMUT00000068440,ENSMMUP00000053037,0,0
ENSMMUT00000072781,ENSMMUP00000042631,0,0
ENSMMUT00000047417,ENSMMUP00000040451,0,0
ENSMMUT00000061492,ENSMMUP00000041630,0,0
ENSMMUT00000066685,ENSMMUP00000051744,0,0
ENSMMUT00000074646,ENSMMUP00000059592,0,0
ENSMMUT00000047416,ENSMMUP00000040450,0,0
ENSMMUT00000013891,ENSMMUP00000013015,0,0
ENSMMUT00000013893,ENSMMUP00000013017,1,0
ENSMMUT00000053260,ENSMMUP00000048145,0,0
ENSMMUT00000001790,ENSMMUP00000001687,0,0
ENSMMUT00000000511,ENSMMUP00000000472,0,0
ENSMMUT00000013876,ENSMMUP00000013000,0,0
ENSMMUT00000068779,ENSMMUP00000057845,0,0
ENSMMUT00000060725,ENSMMUP00000042385,0,0
ENSMMUT00000075883,ENSMMUP00000044766,0,0
ENSMMUT00000027750,ENSMMUP00000025959,0,0
ENSMMUT00000000446,ENSMMUP00000000413,0,0
ENSMMUT00000024318,ENSMMUP00000022761,0,0
ENSMMUT00000047410,ENSMMUP00000040444,0,0
ENSMMUT00000054205,ENSMMUP00000048412,0,0
ENSMMUT00000008798,ENSMMUP00000008269,0,0
ENSMMUT00000021155,ENSMMUP00000019781,0,0
ENSMMUT00000004621,ENSMMUP00000004355,0,0
ENSMMUT00000004622,ENSMMUP00000004356,0,0
ENSMMUT00000047407,ENSMMUP00000040441,0,0
ENSMMUT00000008962,ENSMMUP00000008426,0,0
ENSMMUT00000003898,ENSMMUP00000003683,0,0
ENSMMUT00000008730,ENSMMUP00000040436,0,0
ENSMMUT00000047402,ENSMMUP00000040435,0,0
ENSMMUT00000002617,ENSMMUP00000002471,0,0
ENSMMUT00000002618,ENSMMUP00000002472,0,0
ENSMMUT00000047401,ENSMMUP00000040434,0,0
ENSMMUT00000057936,ENSMMUP00000049757,0,0
ENSMMUT00000017538,ENSMMUP00000016423,0,0
ENSMMUT00000061474,ENSMMUP00000053319,0,0
ENSMMUT00000007043,ENSMMUP00000006618,0,0
ENSMMUT00000007044,ENSMMUP00000056054,0,0
ENSMMUT00000007045,ENSMMUP00000006619,0,0
ENSMMUT00000054065,ENSMMUP00000050212,0,0
ENSMMUT00000065559,ENSMMUP00000046465,0,0
ENSMMUT00000047400,ENSMMUP00000040433,0,0
ENSMMUT00000026910,ENSMMUP00000025177,0,0
ENSMMUT00000027829,ENSMMUP00000026035,0,0
ENSMMUT00000075336,ENSMMUP00000058686,0,0
ENSMMUT00000027836,ENSMMUP00000026042,0,0
ENSMMUT00000069551,ENSMMUP00000050121,0,0
ENSMMUT00000047398,ENSMMUP00000040431,0,0
ENSMMUT00000027842,ENSMMUP00000026047,0,0
ENSMMUT00000018360,ENSMMUP00000017191,0,0
ENSMMUT00000075352,ENSMMUP00000056919,0,0
ENSMMUT00000015340,ENSMMUP00000014374,0,0
ENSMMUT00000004725,ENSMMUP00000004454,0,0
ENSMMUT00000054241,ENSMMUP00000059416,0,0
ENSMMUT00000071036,ENSMMUP00000051045,0,0
ENSMMUT00000016844,ENSMMUP00000015774,0,0
ENSMMUT00000047397,ENSMMUP00000040430,0,0
ENSMMUT00000060734,ENSMMUP00000053203,0,0
ENSMMUT00000016852,ENSMMUP00000015782,0,0
ENSMMUT00000065063,ENSMMUP00000044281,0,0
ENSMMUT00000031649,ENSMMUP00000029609,0,0
ENSMMUT00000020506,ENSMMUP00000019191,0,0
ENSMMUT00000016372,ENSMMUP00000015341,0,0
ENSMMUT00000016373,ENSMMUP00000015342,0,0
ENSMMUT00000022778,ENSMMUP00000021304,0,0
ENSMMUT00000024372,ENSMMUP00000022811,0,0
ENSMMUT00000028738,ENSMMUP00000026890,0,0
ENSMMUT00000028740,ENSMMUP00000026892,0,0
ENSMMUT00000028745,ENSMMUP00000026897,0,0
ENSMMUT00000013514,ENSMMUP00000012661,0,0
ENSMMUT00000014442,ENSMMUP00000013530,0,0
ENSMMUT00000047386,ENSMMUP00000040419,0,0
ENSMMUT00000071140,ENSMMUP00000041553,0,0
ENSMMUT00000065997,ENSMMUP00000051074,0,0
ENSMMUT00000011768,ENSMMUP00000011035,0,0
ENSMMUT00000011769,ENSMMUP00000011036,0,0
ENSMMUT00000076486,ENSMMUP00000044035,0,0
ENSMMUT00000062085,ENSMMUP00000057041,0,0
ENSMMUT00000020126,ENSMMUP00000018838,0,0
ENSMMUT00000031009,ENSMMUP00000029025,0,0
ENSMMUT00000065799,ENSMMUP00000054811,0,0
ENSMMUT00000007561,ENSMMUP00000007104,0,0
ENSMMUT00000007560,ENSMMUP00000007103,0,0
ENSMMUT00000075991,ENSMMUP00000051420,0,0
ENSMMUT00000069187,ENSMMUP00000041788,0,0
ENSMMUT00000032635,ENSMMUP00000030538,0,0
ENSMMUT00000061580,ENSMMUP00000049052,0,0
ENSMMUT00000029306,ENSMMUP00000027419,0,0
ENSMMUT00000053686,ENSMMUP00000048593,0,0
ENSMMUT00000008460,ENSMMUP00000007948,0,0
ENSMMUT00000002675,ENSMMUP00000002527,0,0
ENSMMUT00000033247,ENSMMUP00000031112,0,0
ENSMMUT00000070153,ENSMMUP00000052115,0,0
ENSMMUT00000014150,ENSMMUP00000013252,0,0
ENSMMUT00000047383,ENSMMUP00000040414,0,0
ENSMMUT00000066003,ENSMMUP00000058080,0,0
ENSMMUT00000030343,ENSMMUP00000040410,0,0
ENSMMUT00000075882,ENSMMUP00000045947,0,0
ENSMMUT00000070936,ENSMMUP00000058387,0,0
ENSMMUT00000010483,ENSMMUP00000009838,0,0
ENSMMUT00000066908,ENSMMUP00000052995,0,0
ENSMMUT00000010491,ENSMMUP00000009844,0,0
ENSMMUT00000026514,ENSMMUP00000024815,0,0
