# Macaque CNV gene counter
# Species:   human
# PYTHON VERSION: 3.7.4
# Script call:    .\06_gene_count_bed.py human
# Runtime:        09/26/2020 12:07:36
# ----------------
# Log file:        gene-counts-human-noalu.log
# Max CNV length:  999999999999999
# CNVs file:       bed/human-cnvs-filtered-noalu.bed
# Gene file:       bed/human-cnvs-to-genes.bed
# 10kb up file:    bed/human-cnvs-to-genes-10kb-up.bed
# 10kb down file:  bed/human-cnvs-to-genes-10kb-down.bed
# Transcript file: bed/human-cnvs-to-transcripts.bed
# Exon file:       bed/human-cnvs-to-exons.bed
# ----------------
# 09.26.2020 | 12:07:36 Reading CNVs...
# CNVs read: 15529

# 09.26.2020 | 12:07:36 Counting gene overlaps...

GENES
AT LEAST ONE GENIC REGION: 8903
NUM REGIONS OVERLAPPED AT LEAST ONCE: 6119

	Del	Dup
AT LEAST ONE GENIC REGION: 3296
NUM REGIONS OVERLAPPED AT LEAST ONCE: 3671

	Del	Dup
Full	136	122
Part	2996	525

	Del	Dup
Full	88	65
Part	2766	454

All CNVs avg. overlap
	Del	Dup
Full	0.009	0.009
Part	0.225	0.038
All	0.234	0.047

Overlapping CNVs avg. overlap
	Del	Dup
Full	1.591	2.031
Part	1.266	1.302
All	1.293	1.503

TOTAL AVG. OVERLAP CONDITIONAL: 1.1046723300970873

# 09.26.2020 | 12:07:39 Counting 10kb downstream gene overlaps...

10KB DOWN
AT LEAST ONE GENIC REGION: 3405
NUM REGIONS OVERLAPPED AT LEAST ONCE: 3753

	Del	Dup
Full	109	132
Part	3065	561

	Del	Dup
Full	83	73
Part	2860	453

All CNVs avg. overlap
	Del	Dup
Full	0.007	0.009
Part	0.232	0.039
All	0.239	0.049

Overlapping CNVs avg. overlap
	Del	Dup
Full	1.398	2.0
Part	1.259	1.347
All	1.276	1.537

TOTAL AVG. OVERLAP CONDITIONAL: 1.0919236417033773

# 09.26.2020 | 12:07:40 Counting transcript overlaps...

TRANSCRIPTS
AT LEAST ONE GENIC REGION: 8903
NUM REGIONS OVERLAPPED AT LEAST ONCE: 24686

	Del	Dup
Full	734	422
Part	21512	3754

	Del	Dup
Full	321	122
Part	7754	1010

All CNVs avg. overlap
	Del	Dup
Full	0.048	0.03
Part	2.181	0.28
All	2.228	0.31

Overlapping CNVs avg. overlap
	Del	Dup
Full	2.318	3.869
Part	4.367	4.306
All	4.408	4.583

TOTAL AVG. OVERLAP CONDITIONAL: 3.8868920588565654

# 09.26.2020 | 12:07:48 Counting exon overlaps...

EXONS
AT LEAST ONE GENIC REGION: 2332
NUM REGIONS OVERLAPPED AT LEAST ONCE: 10028

	Del	Dup
Full	6012	2352
Part	1585	235

	Del	Dup
Full	1285	287
Part	982	156

All CNVs avg. overlap
	Del	Dup
Full	0.689	0.256
Part	0.161	0.024
All	0.85	0.28

Overlapping CNVs avg. overlap
	Del	Dup
Full	8.325	13.843
Part	2.547	2.378
All	6.769	11.372

TOTAL AVG. OVERLAP CONDITIONAL: 5.659948542024014
