Gene,SV type, SV key
ENSMMUP00000046370.1,NA,NA
ENSMMUP00000049155.1,NA,NA
ENSMMUP00000018141.2,NA,NA
ENSMMUP00000058068.1,NA,NA
ENSMMUP00000010283.3,NA,NA
ENSMMUP00000022551.3,NA,NA
ENSMMUP00000028514.3,NA,NA
ENSMMUP00000052071.1,NA,NA
ENSMMUP00000059564.1,NA,NA
ENSMMUP00000056801.1,NA,NA
ENSMMUP00000034775.2,NA,NA
ENSMMUP00000060987.1,NA,NA
ENSMMUP00000041937.1,NA,NA
ENSMMUP00000029197.2,NA,NA
ENSMMUP00000020521.3,NA,NA
ENSMMUP00000050343.1,NA,NA
ENSMMUP00000059568.1,NA,NA
ENSMMUP00000022472.3,NA,NA
ENSMMUP00000040557.2,NA,NA
ENSMMUP00000059672.1,NA,NA
ENSMMUP00000004825.2,NA,NA
ENSMMUP00000004353.3,NA,NA
ENSMMUP00000018121.1,NA,NA
ENSMMUP00000013608.2,NA,NA
ENSMMUP00000013905.2,NA,NA
ENSMMUP00000005659.3,NA,NA
ENSMMUP00000014257.3,NA,NA
ENSMMUP00000053093.1,NA,NA
ENSMMUP00000003167.3,NA,NA
ENSMMUP00000018951.2,NA,NA
ENSMMUP00000052948.1,NA,NA
ENSMMUP00000026736.2,NA,NA
ENSMMUP00000051256.1,NA,NA
ENSMMUP00000015744.3,NA,NA
ENSMMUP00000043258.1,NA,NA
ENSMMUP00000034467.2,NA,NA
ENSMMUP00000059504.1,NA,NA
ENSMMUP00000044192.1,NA,NA
ENSMMUP00000052733.1,NA,NA
ENSMMUP00000060180.1,NA,NA
ENSMMUP00000056231.1,NA,NA
ENSMMUP00000004831.3,NA,NA
ENSMMUP00000005716.3,NA,NA
ENSMMUP00000026036.3,NA,NA
ENSMMUP00000017353.3,NA,NA
ENSMMUP00000004962.2,NA,NA
ENSMMUP00000018301.3,NA,NA
ENSMMUP00000021866.3,NA,NA
ENSMMUP00000057404.1,NA,NA
ENSMMUP00000057966.1,NA,NA
ENSMMUP00000022444.3,NA,NA
ENSMMUP00000058958.1,NA,NA
ENSMMUP00000044401.1,NA,NA
ENSMMUP00000007665.3,NA,NA
ENSMMUP00000030820.3,NA,NA
ENSMMUP00000007834.3,NA,NA
ENSMMUP00000015852.3,NA,NA
ENSMMUP00000044727.1,NA,NA
ENSMMUP00000057379.1,NA,NA
ENSMMUP00000003807.2,NA,NA
ENSMMUP00000056619.1,NA,NA
ENSMMUP00000050098.1,NA,NA
ENSMMUP00000008575.3,NA,NA
ENSMMUP00000012401.3,NA,NA
ENSMMUP00000006874.3,NA,NA
ENSMMUP00000058584.1,NA,NA
ENSMMUP00000031115.3,NA,NA
ENSMMUP00000018597.2,NA,NA
ENSMMUP00000015659.3,NA,NA
ENSMMUP00000042291.1,NA,NA
ENSMMUP00000060203.1,NA,NA
ENSMMUP00000029836.3,NA,NA
ENSMMUP00000000475.3,NA,NA
ENSMMUP00000014913.3,NA,NA
ENSMMUP00000011137.3,NA,NA
ENSMMUP00000051738.1,NA,NA
ENSMMUP00000045045.1,NA,NA
ENSMMUP00000033257.2,NA,NA
ENSMMUP00000018959.3,NA,NA
ENSMMUP00000009155.3,NA,NA
ENSMMUP00000052940.1,NA,NA
ENSMMUP00000036002.2,NA,NA
ENSMMUP00000043437.1,NA,NA
ENSMMUP00000001013.3,NA,NA
ENSMMUP00000003530.2,NA,NA
ENSMMUP00000005625.3,NA,NA
ENSMMUP00000043349.1,NA,NA
ENSMMUP00000023590.3,NA,NA
ENSMMUP00000000276.3,NA,NA
ENSMMUP00000050587.1,NA,NA
ENSMMUP00000047441.1,NA,NA
ENSMMUP00000027721.3,NA,NA
ENSMMUP00000044355.1,NA,NA
ENSMMUP00000027614.3,NA,NA
ENSMMUP00000027521.3,NA,NA
ENSMMUP00000017236.3,NA,NA
ENSMMUP00000031383.2,NA,NA
ENSMMUP00000014757.3,NA,NA
ENSMMUP00000014075.2,NA,NA
ENSMMUP00000054087.1,NA,NA
ENSMMUP00000056507.1,NA,NA
ENSMMUP00000002287.2,NA,NA
ENSMMUP00000014406.3,NA,NA
ENSMMUP00000043914.1,NA,NA
ENSMMUP00000010494.3,NA,NA
ENSMMUP00000000717.3,NA,NA
ENSMMUP00000045694.1,NA,NA
ENSMMUP00000054493.1,NA,NA
ENSMMUP00000058867.1,NA,NA
ENSMMUP00000029903.3,NA,NA
ENSMMUP00000017975.2,NA,NA
ENSMMUP00000054745.1,NA,NA
ENSMMUP00000006327.3,NA,NA
ENSMMUP00000016670.3,NA,NA
ENSMMUP00000003138.3,NA,NA
ENSMMUP00000009217.3,NA,NA
ENSMMUP00000027263.2,NA,NA
ENSMMUP00000054097.1,NA,NA
ENSMMUP00000022962.2,NA,NA
ENSMMUP00000041754.1,NA,NA
ENSMMUP00000016827.2,NA,NA
ENSMMUP00000041183.2,NA,NA
ENSMMUP00000057914.1,NA,NA
ENSMMUP00000042225.1,NA,NA
ENSMMUP00000023366.3,NA,NA
ENSMMUP00000046915.1,NA,NA
ENSMMUP00000031008.3,NA,NA
ENSMMUP00000045952.1,NA,NA
ENSMMUP00000030896.2,NA,NA
ENSMMUP00000010460.2,NA,NA
ENSMMUP00000000707.3,NA,NA
ENSMMUP00000017219.1,NA,NA
ENSMMUP00000043897.1,NA,NA
ENSMMUP00000020055.3,NA,NA
ENSMMUP00000014057.3,NA,NA
ENSMMUP00000012528.2,NA,NA
ENSMMUP00000049638.1,NA,NA
ENSMMUP00000040086.2,NA,NA
ENSMMUP00000012059.2,NA,NA
ENSMMUP00000046219.1,NA,NA
ENSMMUP00000017587.2,NA,NA
ENSMMUP00000056251.1,NA,NA
ENSMMUP00000000927.3,NA,NA
ENSMMUP00000048033.1,NA,NA
ENSMMUP00000054141.1,NA,NA
ENSMMUP00000040336.2,NA,NA
ENSMMUP00000057619.1,NA,NA
ENSMMUP00000060898.1,NA,NA
ENSMMUP00000022875.3,NA,NA
ENSMMUP00000015770.2,NA,NA
ENSMMUP00000043944.1,NA,NA
ENSMMUP00000011464.3,NA,NA
ENSMMUP00000034608.2,NA,NA
ENSMMUP00000006031.3,NA,NA
ENSMMUP00000034266.1,NA,NA
ENSMMUP00000030911.3,NA,NA
ENSMMUP00000031020.3,NA,NA
ENSMMUP00000028631.3,NA,NA
ENSMMUP00000010984.3,NA,NA
ENSMMUP00000013604.2,NA,NA
ENSMMUP00000018386.2,NA,NA
ENSMMUP00000019658.2,NA,NA
ENSMMUP00000041841.1,NA,NA
ENSMMUP00000042211.1,NA,NA
ENSMMUP00000017511.3,NA,NA
ENSMMUP00000045031.1,NA,NA
ENSMMUP00000030166.3,NA,NA
ENSMMUP00000049799.1,NA,NA
ENSMMUP00000021530.3,NA,NA
ENSMMUP00000015380.2,NA,NA
ENSMMUP00000016564.3,NA,NA
ENSMMUP00000033495.2,NA,NA
ENSMMUP00000002934.3,NA,NA
ENSMMUP00000016455.2,NA,NA
ENSMMUP00000015982.3,NA,NA
ENSMMUP00000019240.3,NA,NA
ENSMMUP00000043662.1,NA,NA
ENSMMUP00000054243.1,NA,NA
ENSMMUP00000033941.2,NA,NA
ENSMMUP00000036044.2,NA,NA
ENSMMUP00000033545.1,NA,NA
ENSMMUP00000035178.1,NA,NA
ENSMMUP00000039487.2,NA,NA
ENSMMUP00000008482.2,NA,NA
ENSMMUP00000001783.2,NA,NA
ENSMMUP00000037196.2,NA,NA
ENSMMUP00000028173.3,NA,NA
ENSMMUP00000044062.1,NA,NA
ENSMMUP00000044572.1,NA,NA
ENSMMUP00000022625.2,NA,NA
ENSMMUP00000001328.3,NA,NA
ENSMMUP00000026823.1,NA,NA
ENSMMUP00000022415.1,NA,NA
ENSMMUP00000040255.2,NA,NA
ENSMMUP00000019276.3,NA,NA
ENSMMUP00000026159.3,NA,NA
ENSMMUP00000008720.3,NA,NA
ENSMMUP00000022869.3,NA,NA
ENSMMUP00000004707.3,NA,NA
ENSMMUP00000002743.2,NA,NA
ENSMMUP00000009075.1,NA,NA
ENSMMUP00000017066.2,NA,NA
ENSMMUP00000000272.3,NA,NA
ENSMMUP00000056920.1,NA,NA
ENSMMUP00000031373.1,NA,NA
ENSMMUP00000033528.2,NA,NA
ENSMMUP00000008661.3,NA,NA
ENSMMUP00000024439.2,NA,NA
ENSMMUP00000054919.1,NA,NA
ENSMMUP00000049996.1,NA,NA
ENSMMUP00000059970.1,NA,NA
ENSMMUP00000042821.1,NA,NA
ENSMMUP00000005268.2,NA,NA
ENSMMUP00000058956.1,NA,NA
ENSMMUP00000057187.1,NA,NA
ENSMMUP00000030354.1,NA,NA
ENSMMUP00000030505.3,NA,NA
ENSMMUP00000046802.1,NA,NA
ENSMMUP00000018028.3,NA,NA
ENSMMUP00000001990.2,NA,NA
ENSMMUP00000038992.1,NA,NA
ENSMMUP00000021385.3,NA,NA
ENSMMUP00000058902.1,NA,NA
ENSMMUP00000055829.1,NA,NA
ENSMMUP00000002282.2,NA,NA
ENSMMUP00000027694.2,NA,NA
ENSMMUP00000060225.1,NA,NA
ENSMMUP00000013413.3,NA,NA
ENSMMUP00000054818.1,NA,NA
ENSMMUP00000004605.3,NA,NA
ENSMMUP00000059837.1,NA,NA
ENSMMUP00000057827.1,NA,NA
ENSMMUP00000000020.2,NA,NA
ENSMMUP00000052542.1,NA,NA
ENSMMUP00000055343.1,NA,NA
ENSMMUP00000025742.2,NA,NA
ENSMMUP00000056778.1,NA,NA
ENSMMUP00000032322.1,NA,NA
ENSMMUP00000001114.3,NA,NA
ENSMMUP00000026124.2,NA,NA
ENSMMUP00000026656.3,NA,NA
ENSMMUP00000033690.1,NA,NA
ENSMMUP00000018674.3,NA,NA
ENSMMUP00000029659.2,NA,NA
ENSMMUP00000001945.2,NA,NA
ENSMMUP00000004245.3,NA,NA
ENSMMUP00000035753.2,NA,NA
ENSMMUP00000058879.1,NA,NA
ENSMMUP00000060553.1,NA,NA
ENSMMUP00000056059.1,NA,NA
ENSMMUP00000009615.3,NA,NA
ENSMMUP00000028154.3,NA,NA
ENSMMUP00000058689.1,NA,NA
ENSMMUP00000010569.3,NA,NA
ENSMMUP00000045769.1,NA,NA
ENSMMUP00000041329.2,NA,NA
ENSMMUP00000042116.1,NA,NA
ENSMMUP00000055645.1,NA,NA
ENSMMUP00000000618.3,NA,NA
ENSMMUP00000003508.1,NA,NA
ENSMMUP00000027339.3,NA,NA
ENSMMUP00000012230.2,NA,NA
ENSMMUP00000007877.3,NA,NA
ENSMMUP00000024762.3,NA,NA
ENSMMUP00000057522.1,NA,NA
ENSMMUP00000047999.1,NA,NA
ENSMMUP00000004486.3,NA,NA
ENSMMUP00000047075.1,NA,NA
ENSMMUP00000012629.2,NA,NA
ENSMMUP00000010774.2,NA,NA
ENSMMUP00000008277.3,NA,NA
ENSMMUP00000019394.2,NA,NA
ENSMMUP00000035272.2,NA,NA
ENSMMUP00000043656.1,NA,NA
ENSMMUP00000012152.3,NA,NA
ENSMMUP00000010509.2,NA,NA
ENSMMUP00000052180.1,NA,NA
ENSMMUP00000030991.3,NA,NA
ENSMMUP00000014367.3,NA,NA
ENSMMUP00000008196.3,NA,NA
ENSMMUP00000049579.1,NA,NA
ENSMMUP00000038337.2,NA,NA
ENSMMUP00000003085.1,NA,NA
ENSMMUP00000043974.1,NA,NA
ENSMMUP00000014134.2,NA,NA
ENSMMUP00000017170.2,NA,NA
ENSMMUP00000013928.2,NA,NA
ENSMMUP00000041805.1,NA,NA
ENSMMUP00000042549.1,NA,NA
ENSMMUP00000041956.1,NA,NA
ENSMMUP00000048525.1,NA,NA
ENSMMUP00000006705.3,NA,NA
ENSMMUP00000011201.3,NA,NA
ENSMMUP00000060560.1,NA,NA
ENSMMUP00000046980.1,NA,NA
ENSMMUP00000008601.3,NA,NA
ENSMMUP00000007333.2,NA,NA
ENSMMUP00000012667.1,NA,NA
ENSMMUP00000020845.3,NA,NA
ENSMMUP00000005884.1,NA,NA
ENSMMUP00000048081.1,NA,NA
ENSMMUP00000060481.1,NA,NA
ENSMMUP00000004189.3,NA,NA
ENSMMUP00000041419.1,NA,NA
ENSMMUP00000019503.1,NA,NA
ENSMMUP00000007745.3,NA,NA
ENSMMUP00000008841.3,NA,NA
ENSMMUP00000045958.1,NA,NA
ENSMMUP00000060956.1,NA,NA
ENSMMUP00000017486.3,NA,NA
ENSMMUP00000004195.3,NA,NA
ENSMMUP00000054278.1,NA,NA
ENSMMUP00000011068.2,NA,NA
ENSMMUP00000000443.3,NA,NA
ENSMMUP00000017416.2,NA,NA
ENSMMUP00000047630.1,NA,NA
ENSMMUP00000043565.1,NA,NA
ENSMMUP00000053677.1,NA,NA
ENSMMUP00000058534.1,NA,NA
ENSMMUP00000006486.2,NA,NA
ENSMMUP00000021960.3,NA,NA
ENSMMUP00000055277.1,NA,NA
ENSMMUP00000054402.1,NA,NA
ENSMMUP00000031552.1,NA,NA
ENSMMUP00000045297.1,NA,NA
ENSMMUP00000047462.1,NA,NA
ENSMMUP00000041663.1,NA,NA
ENSMMUP00000046036.1,NA,NA
ENSMMUP00000012356.2,NA,NA
ENSMMUP00000039987.2,NA,NA
ENSMMUP00000057917.1,NA,NA
ENSMMUP00000030587.3,NA,NA
ENSMMUP00000055129.1,NA,NA
ENSMMUP00000045075.1,NA,NA
ENSMMUP00000016573.3,NA,NA
ENSMMUP00000050799.1,NA,NA
ENSMMUP00000021927.3,NA,NA
ENSMMUP00000055661.1,NA,NA
ENSMMUP00000040175.1,NA,NA
ENSMMUP00000057401.1,NA,NA
ENSMMUP00000024931.2,NA,NA
ENSMMUP00000044816.1,NA,NA
ENSMMUP00000014736.2,NA,NA
ENSMMUP00000014088.3,NA,NA
ENSMMUP00000007090.3,NA,NA
ENSMMUP00000027078.2,NA,NA
ENSMMUP00000008582.3,NA,NA
ENSMMUP00000018369.2,NA,NA
ENSMMUP00000022940.3,NA,NA
ENSMMUP00000015551.1,NA,NA
ENSMMUP00000003182.1,NA,NA
ENSMMUP00000001021.2,NA,NA
ENSMMUP00000016131.3,NA,NA
ENSMMUP00000009918.3,NA,NA
ENSMMUP00000054342.1,NA,NA
ENSMMUP00000041427.1,NA,NA
ENSMMUP00000041910.1,NA,NA
ENSMMUP00000023838.3,NA,NA
ENSMMUP00000059983.1,NA,NA
ENSMMUP00000058638.1,NA,NA
ENSMMUP00000035329.2,NA,NA
ENSMMUP00000024207.1,NA,NA
ENSMMUP00000036779.2,NA,NA
ENSMMUP00000007999.3,NA,NA
ENSMMUP00000001856.3,NA,NA
ENSMMUP00000026987.2,NA,NA
ENSMMUP00000037771.2,NA,NA
ENSMMUP00000058666.1,NA,NA
ENSMMUP00000003646.2,NA,NA
ENSMMUP00000055050.1,NA,NA
ENSMMUP00000028208.3,NA,NA
ENSMMUP00000012434.3,NA,NA
ENSMMUP00000053237.1,NA,NA
ENSMMUP00000028190.3,NA,NA
ENSMMUP00000042031.1,NA,NA
ENSMMUP00000028739.3,NA,NA
ENSMMUP00000047112.1,NA,NA
ENSMMUP00000059798.1,NA,NA
ENSMMUP00000017436.2,NA,NA
ENSMMUP00000026740.3,NA,NA
ENSMMUP00000009012.3,NA,NA
ENSMMUP00000008656.1,NA,NA
ENSMMUP00000001799.3,NA,NA
ENSMMUP00000009189.3,NA,NA
ENSMMUP00000031314.3,NA,NA
ENSMMUP00000031646.2,NA,NA
ENSMMUP00000058427.1,NA,NA
ENSMMUP00000019931.3,NA,NA
ENSMMUP00000029268.2,NA,NA
ENSMMUP00000030254.3,NA,NA
ENSMMUP00000044824.1,NA,NA
ENSMMUP00000031630.2,NA,NA
ENSMMUP00000007767.3,NA,NA
ENSMMUP00000042612.1,NA,NA
ENSMMUP00000050189.1,NA,NA
ENSMMUP00000017071.3,NA,NA
ENSMMUP00000002708.3,NA,NA
ENSMMUP00000006828.1,NA,NA
ENSMMUP00000002683.3,NA,NA
ENSMMUP00000058178.1,NA,NA
ENSMMUP00000008269.2,NA,NA
ENSMMUP00000016972.3,NA,NA
ENSMMUP00000037698.2,NA,NA
ENSMMUP00000000300.3,NA,NA
ENSMMUP00000024558.3,NA,NA
ENSMMUP00000021078.2,NA,NA
ENSMMUP00000043388.1,NA,NA
ENSMMUP00000009195.2,NA,NA
ENSMMUP00000056511.1,NA,NA
ENSMMUP00000053937.1,NA,NA
ENSMMUP00000001152.2,NA,NA
ENSMMUP00000008332.3,NA,NA
ENSMMUP00000011008.3,NA,NA
ENSMMUP00000053011.1,NA,NA
ENSMMUP00000042948.1,NA,NA
ENSMMUP00000042405.1,NA,NA
ENSMMUP00000045233.1,NA,NA
ENSMMUP00000028242.2,NA,NA
ENSMMUP00000036740.2,NA,NA
ENSMMUP00000027925.2,NA,NA
ENSMMUP00000015476.3,NA,NA
ENSMMUP00000032503.2,NA,NA
ENSMMUP00000059712.1,NA,NA
ENSMMUP00000018239.3,NA,NA
ENSMMUP00000036929.2,NA,NA
ENSMMUP00000047375.1,NA,NA
ENSMMUP00000022559.3,NA,NA
ENSMMUP00000041483.1,NA,NA
ENSMMUP00000002347.2,NA,NA
ENSMMUP00000060449.1,NA,NA
ENSMMUP00000047108.1,NA,NA
ENSMMUP00000007737.3,NA,NA
ENSMMUP00000002663.3,NA,NA
ENSMMUP00000011329.2,NA,NA
ENSMMUP00000040294.2,NA,NA
ENSMMUP00000024380.3,NA,NA
ENSMMUP00000000335.3,NA,NA
ENSMMUP00000007256.2,NA,NA
ENSMMUP00000042408.1,NA,NA
ENSMMUP00000018350.3,NA,NA
ENSMMUP00000046970.1,NA,NA
ENSMMUP00000037350.1,NA,NA
ENSMMUP00000048007.1,NA,NA
ENSMMUP00000008652.2,NA,NA
ENSMMUP00000033450.2,NA,NA
ENSMMUP00000057591.1,NA,NA
ENSMMUP00000007076.2,NA,NA
ENSMMUP00000054015.1,NA,NA
ENSMMUP00000027956.2,NA,NA
ENSMMUP00000001100.2,NA,NA
ENSMMUP00000056764.1,NA,NA
ENSMMUP00000058640.1,NA,NA
ENSMMUP00000002272.2,NA,NA
ENSMMUP00000018054.2,NA,NA
ENSMMUP00000016398.3,NA,NA
ENSMMUP00000029068.3,NA,NA
ENSMMUP00000060688.1,NA,NA
ENSMMUP00000057146.1,NA,NA
ENSMMUP00000046527.1,NA,NA
ENSMMUP00000046574.1,NA,NA
ENSMMUP00000003755.2,NA,NA
ENSMMUP00000054953.1,NA,NA
ENSMMUP00000058049.1,NA,NA
ENSMMUP00000046143.1,NA,NA
ENSMMUP00000018863.3,NA,NA
ENSMMUP00000047777.1,NA,NA
ENSMMUP00000009922.2,NA,NA
ENSMMUP00000040812.1,NA,NA
ENSMMUP00000034844.1,NA,NA
ENSMMUP00000016145.3,NA,NA
ENSMMUP00000033967.2,NA,NA
ENSMMUP00000030473.3,NA,NA
ENSMMUP00000021604.2,NA,NA
ENSMMUP00000012273.3,NA,NA
ENSMMUP00000021571.3,NA,NA
ENSMMUP00000051867.1,NA,NA
ENSMMUP00000047496.1,NA,NA
ENSMMUP00000038579.2,NA,NA
ENSMMUP00000019318.3,NA,NA
ENSMMUP00000020985.3,NA,NA
ENSMMUP00000000847.3,NA,NA
ENSMMUP00000005864.3,NA,NA
ENSMMUP00000001081.3,NA,NA
ENSMMUP00000047492.1,NA,NA
ENSMMUP00000050572.1,NA,NA
ENSMMUP00000038545.2,NA,NA
ENSMMUP00000034708.2,NA,NA
ENSMMUP00000020597.3,NA,NA
ENSMMUP00000010805.3,NA,NA
ENSMMUP00000017677.2,NA,NA
ENSMMUP00000022860.3,NA,NA
ENSMMUP00000046508.1,NA,NA
ENSMMUP00000028926.3,NA,NA
ENSMMUP00000012282.2,NA,NA
ENSMMUP00000003358.2,NA,NA
ENSMMUP00000004953.3,NA,NA
ENSMMUP00000055536.1,NA,NA
ENSMMUP00000059278.1,NA,NA
ENSMMUP00000037807.2,NA,NA
ENSMMUP00000015088.2,NA,NA
ENSMMUP00000026995.3,NA,NA
ENSMMUP00000046489.1,NA,NA
ENSMMUP00000050048.1,NA,NA
ENSMMUP00000059380.1,NA,NA
ENSMMUP00000013245.2,NA,NA
ENSMMUP00000010230.3,NA,NA
ENSMMUP00000010905.3,NA,NA
ENSMMUP00000018613.3,NA,NA
ENSMMUP00000038848.2,NA,NA
ENSMMUP00000015184.3,NA,NA
ENSMMUP00000019157.3,NA,NA
ENSMMUP00000038235.2,NA,NA
ENSMMUP00000042586.1,NA,NA
ENSMMUP00000049920.1,NA,NA
ENSMMUP00000027367.2,NA,NA
ENSMMUP00000059345.1,NA,NA
ENSMMUP00000054963.1,NA,NA
ENSMMUP00000009770.2,NA,NA
ENSMMUP00000003707.3,NA,NA
ENSMMUP00000052601.1,NA,NA
ENSMMUP00000046427.1,NA,NA
ENSMMUP00000026438.2,NA,NA
ENSMMUP00000023118.3,NA,NA
ENSMMUP00000045623.1,NA,NA
ENSMMUP00000056806.1,NA,NA
ENSMMUP00000055552.1,NA,NA
ENSMMUP00000011337.3,NA,NA
ENSMMUP00000054120.1,NA,NA
ENSMMUP00000043745.1,NA,NA
ENSMMUP00000038143.2,NA,NA
ENSMMUP00000026989.3,NA,NA
ENSMMUP00000052860.1,NA,NA
ENSMMUP00000015484.3,NA,NA
ENSMMUP00000000235.3,NA,NA
ENSMMUP00000021171.3,NA,NA
ENSMMUP00000059611.1,NA,NA
ENSMMUP00000020911.3,NA,NA
ENSMMUP00000009343.2,NA,NA
ENSMMUP00000011290.3,NA,NA
ENSMMUP00000029683.3,NA,NA
ENSMMUP00000030006.3,NA,NA
ENSMMUP00000016070.2,NA,NA
ENSMMUP00000058946.1,NA,NA
ENSMMUP00000041884.1,NA,NA
ENSMMUP00000011621.3,NA,NA
ENSMMUP00000002716.2,NA,NA
ENSMMUP00000020544.3,NA,NA
ENSMMUP00000010089.3,NA,NA
ENSMMUP00000004373.3,NA,NA
ENSMMUP00000014835.2,NA,NA
ENSMMUP00000025365.2,NA,NA
ENSMMUP00000000221.3,NA,NA
ENSMMUP00000038840.2,NA,NA
ENSMMUP00000043473.1,NA,NA
ENSMMUP00000050645.1,NA,NA
ENSMMUP00000047749.1,NA,NA
ENSMMUP00000060735.1,NA,NA
ENSMMUP00000045926.1,NA,NA
ENSMMUP00000000757.3,NA,NA
ENSMMUP00000004014.3,NA,NA
ENSMMUP00000012324.3,NA,NA
ENSMMUP00000049389.1,NA,NA
ENSMMUP00000046044.1,NA,NA
ENSMMUP00000028563.3,NA,NA
ENSMMUP00000040272.2,NA,NA
ENSMMUP00000031310.2,NA,NA
ENSMMUP00000032878.2,NA,NA
ENSMMUP00000022098.3,NA,NA
ENSMMUP00000056027.1,NA,NA
ENSMMUP00000059298.1,NA,NA
ENSMMUP00000018334.3,NA,NA
ENSMMUP00000039786.2,NA,NA
ENSMMUP00000027194.3,NA,NA
ENSMMUP00000001237.3,NA,NA
ENSMMUP00000042912.1,NA,NA
ENSMMUP00000037412.2,NA,NA
ENSMMUP00000043699.1,NA,NA
ENSMMUP00000044864.1,NA,NA
ENSMMUP00000060997.1,NA,NA
ENSMMUP00000019299.3,NA,NA
ENSMMUP00000007416.2,NA,NA
ENSMMUP00000052363.1,NA,NA
ENSMMUP00000047843.1,NA,NA
ENSMMUP00000052004.1,NA,NA
ENSMMUP00000003820.2,NA,NA
ENSMMUP00000022628.3,NA,NA
ENSMMUP00000041420.1,NA,NA
ENSMMUP00000020564.3,NA,NA
ENSMMUP00000023122.3,NA,NA
ENSMMUP00000013267.3,NA,NA
ENSMMUP00000029702.3,NA,NA
ENSMMUP00000012091.3,NA,NA
ENSMMUP00000050770.1,NA,NA
ENSMMUP00000036170.2,NA,NA
ENSMMUP00000051983.1,NA,NA
ENSMMUP00000051164.1,NA,NA
ENSMMUP00000047954.1,NA,NA
ENSMMUP00000003305.2,NA,NA
ENSMMUP00000025226.3,NA,NA
ENSMMUP00000048194.1,NA,NA
ENSMMUP00000023646.3,NA,NA
ENSMMUP00000047769.1,NA,NA
ENSMMUP00000002222.2,NA,NA
ENSMMUP00000039493.2,NA,NA
ENSMMUP00000042869.1,NA,NA
ENSMMUP00000036651.2,NA,NA
ENSMMUP00000042274.1,NA,NA
ENSMMUP00000030871.2,NA,NA
ENSMMUP00000040540.2,NA,NA
ENSMMUP00000017580.3,NA,NA
ENSMMUP00000017038.1,NA,NA
ENSMMUP00000040929.2,NA,NA
ENSMMUP00000049511.1,NA,NA
